divorces;density;fem;violence;alcoholism;drugs;funemployed;munemplyed;salary;c_criminal;c_economic;c_life
113;0;104;22;184;16;648;929;3901,14;683;203;50
129;0;102;20;193;10;664;1035;3648,02;1181;308;40
113;0;104;30;215;16;1701;1770;3714,64;560;116;26
74;0;103;127;170;13;760;1210;3695,19;402;109;29
100;0;104;18;193;11;1006;967;3594,78;373;151;14
38;0;101;26;89;9;328;551;3596,12;403;185;23
53;0;101;89;104;5;429;866;3439,34;426;101;16
72;0;100;12;25;5;659;913;3877,74;313;70;22
186;0;103;102;305;23;1744;2486;4049,63;1279;347;48
179;0;103;29;108;7;1625;2530;3926,12;1145;202;59
102;0;101;23;86;2;782;1237;3944,22;599;94;31
126;0;102;54;159;5;943;1173;3874,73;803;133;36
41;0;101;7;30;1;392;548;3542,46;217;45;14
40;0;101;7;87;6;574;654;3515,17;190;73;13
238;1;109;28;217;20;1461;1897;4287,12;2024;389;41
367;1;115;24;357;30;1459;1628;4648,58;2398;1139;61
74;0;104;5;80;1;500;826;4079,72;726;64;11
151;0;102;46;184;8;605;830;4299,93;770;165;31
216;1;104;22;276;11;893;1464;4015,45;1892;383;50
117;0;102;31;104;3;675;1141;4011,63;537;620;8
69;0;101;8;87;0;386;557;3687,82;326;124;12
90;1;105;67;67;3;386;646;3612,51;602;175;31
86;0;103;24;102;0;303;439;3606,01;336;89;17
75;0;101;12;76;3;222;363;3183,34;510;335;18
123;0;104;13;170;6;540;873;4183,24;533;256;24
186;0;101;40;264;10;1437;2498;3608,15;740;130;40
144;1;104;25;146;6;272;618;4085,02;787;333;14
99;1;103;19;140;8;444;717;3722,41;818;372;17
71;0;100;4;58;4;241;452;4304,66;256;496;8
58;0;101;11;94;6;191;384;3880,47;313;61;19
100;0;104;50;109;2;323;365;4319,19;524;110;10
94;0;102;11;103;3;252;514;4259,36;744;97;22
245;1;104;204;255;8;834;1176;4080,99;1535;1067;28
67;0;103;44;112;2;332;735;3905,96;394;176;7
306;1;104;61;529;33;981;1448;4383,06;1502;381;61
77;0;102;27;79;2;321;574;3869,29;473;273;7
734;1;105;61;391;22;949;1671;4241,36;3447;958;97
104;1;103;10;71;1;408;622;3737,75;569;367;24
97;0;101;8;72;0;631;1122;3862,22;250;99;17
154;0;104;23;202;10;392;789;4680,51;799;307;20
109;0;103;34;110;0;524;867;4440,62;643;322;19
77;1;104;14;116;5;145;300;3861,64;740;158;11
125;0;104;14;149;12;562;1075;3579,72;685;164;17
132;0;101;54;195;5;462;898;3912,65;789;127;22
66;0;103;5;36;2;164;246;3856,99;434;153;20
136;1;105;27;127;7;403;751;4246,77;539;134;14
115;0;102;10;293;6;906;1331;3553,95;594;94;13
182;1;115;15;289;35;569;696;4124,83;1240;1051;49
136;1;111;36;507;28;951;1274;4215,68;984;354;33
165;1;109;2;210;29;444;743;4083,89;801;385;16
1007;1;114;111;480;63;1767;2447;5355,57;10615;4323;301
81;0;104;4;143;9;1171;1589;4093,01;645;44;34
87;0;101;7;138;1;872;1381;3951,7;805;1517;36
93;0;104;14;201;15;1071;1428;3751,47;763;259;33
177;0;103;73;196;10;658;1145;4574,3;1042;609;73
100;0;102;116;333;33;606;1066;3776,55;1207;170;55
169;0;102;32;182;8;861;1536;4170,81;1010;139;46
102;0;104;12;97;9;945;1371;3706,74;669;84;40
141;1;108;13;231;24;319;400;3988,2;1014;310;36
102;0;101;18;168;4;903;1573;3919,2;773;147;32
131;0;103;20;166;12;675;979;3956,46;1055;137;20
167;1;104;11;143;6;513;874;4908,94;999;228;37
82;0;100;2;109;3;517;893;3923,66;416;167;24
77;0;104;7;89;5;1131;1409;3770,34;565;109;17
216;0;104;26;156;11;1139;1811;4104,49;1400;235;63
118;0;106;45;277;17;1538;2323;4185,96;637;219;17
72;0;102;14;71;3;862;1201;3703,91;576;143;28
90;0;105;26;257;19;512;873;4045,65;600;175;22
70;0;100;2;139;10;904;1249;4083,38;513;103;35
235;1;112;6;175;15;1170;1344;4184,46;1754;254;41
873;1;110;35;284;49;2238;2338;5007,48;10292;1509;232
85;1;108;9;202;9;278;336;4779,09;762;73;42
